,日期,批发价格
0,2020-07-01,10.367857142857142
1,2020-07-02,8.895714285714286
2,2020-07-03,5.61
3,2020-07-04,15.445
4,2020-07-05,5.42
5,2020-07-06,5.45
6,2020-07-07,5.46
7,2020-07-08,7.235
8,2020-07-09,5.47
9,2020-07-10,7.22
10,2020-07-11,7.205
11,2020-07-12,12.82
12,2020-07-13,7.2
13,2020-07-14,6.62
14,2020-07-15,6.62
15,2020-07-16,6.63
16,2020-07-17,6.71
17,2020-07-18,6.725
18,2020-07-19,6.715
19,2020-07-20,6.72
20,2020-07-21,11.17
21,2020-07-22,11.17333333
22,2020-07-23,5.31
23,2020-07-24,12.29333333
24,2020-07-25,7.46
25,2020-07-26,12.36
26,2020-07-27,12.09333333
27,2020-07-28,6.895
28,2020-07-29,6.895
29,2020-07-30,7.255
30,2020-07-31,7.38
31,2020-08-01,7.415
32,2020-08-02,12.24666667
33,2020-08-03,12.18
34,2020-08-04,12.02
35,2020-08-05,12.01666667
36,2020-08-06,11.88666667
37,2020-08-07,10.2075
38,2020-08-08,10.2275
39,2020-08-09,11.87
40,2020-08-10,10.825
41,2020-08-11,10.6275
42,2020-08-12,10.6275
43,2020-08-13,11.43666667
44,2020-08-14,8.5825
45,2020-08-15,8.5025
46,2020-08-16,10.99
47,2020-08-17,12.38666667
48,2020-08-18,12.76
49,2020-08-19,11.72333333
50,2020-08-20,11.36
51,2020-08-21,8.3925
52,2020-08-22,9.546666667
53,2020-08-23,8.535
54,2020-08-24,11.08666667
55,2020-08-25,11.11666667
56,2020-08-26,11.13
57,2020-08-27,10.915
58,2020-08-28,10.9225
59,2020-08-29,13.705000000000002
60,2020-08-30,10.94
61,2020-08-31,11.08333333
62,2020-09-01,11.15333333
63,2020-09-02,11.16
64,2020-09-03,5.675
65,2020-09-04,5.375
66,2020-09-05,5.135
67,2020-09-06,5.12
68,2020-09-07,5.155
69,2020-09-08,5.199999999999999
70,2020-09-09,5.485
71,2020-09-10,5.485
72,2020-09-11,5.315
73,2020-09-12,5.6
74,2020-09-13,5.313333333
75,2020-09-14,5.485
76,2020-09-15,5.835
77,2020-09-16,6.25
78,2020-09-17,5.5
79,2020-09-18,6.3
80,2020-09-19,6.36
81,2020-09-20,6.53
82,2020-09-21,5.77
83,2020-09-22,7.29
84,2020-09-23,10.4
85,2020-09-24,6.835
86,2020-09-25,6.895
87,2020-09-26,6.935
88,2020-09-27,6.91
89,2020-09-28,6.915
90,2020-09-29,6.845
91,2020-09-30,6.665
92,2020-10-01,6.31
93,2020-10-02,6.16
94,2020-10-03,6.16
95,2020-10-04,5.865
96,2020-10-05,5.86
97,2020-10-06,5.855
98,2020-10-07,5.855
99,2020-10-08,5.835
100,2020-10-09,5.72
101,2020-10-10,5.63
102,2020-10-11,5.57
103,2020-10-12,5.645
104,2020-10-13,5.34
105,2020-10-14,5.66
106,2020-10-15,5.8
107,2020-10-16,5.8
108,2020-10-17,5.8
109,2020-10-18,5.8
110,2020-10-19,5.69
111,2020-10-20,5.71
112,2020-10-21,5.8
113,2020-10-22,5.8
114,2020-10-23,5.445
115,2020-10-24,5.6
116,2020-10-25,5.78
117,2020-10-26,5.8
118,2020-10-27,5.8
119,2020-10-28,5.8
120,2020-10-29,5.8
121,2020-10-30,5.8
122,2020-10-31,5.8
123,2020-11-01,5.8
124,2020-11-02,5.8
125,2020-11-03,5.65
126,2020-11-04,5.8
127,2020-11-05,5.8
128,2020-11-06,5.61
129,2020-11-07,5.79
130,2020-11-08,5.8
131,2020-11-09,5.8
132,2020-11-10,5.8
133,2020-11-11,7.685
134,2020-11-12,7.78
135,2020-11-13,7.78
136,2020-11-14,5.199999999999999
137,2020-11-15,5.199999999999999
138,2020-11-16,5.199999999999999
139,2020-11-17,5.8
140,2020-11-18,5.8
141,2020-11-19,7.04
142,2020-11-20,6.3
143,2020-11-21,6.32
144,2020-11-22,5.6
145,2020-11-23,5.6
146,2020-11-24,6.0
147,2020-11-25,6.0
148,2020-11-26,6.07
149,2020-11-27,6.2
150,2020-11-28,6.18
151,2020-11-29,6.0
152,2020-11-30,6.0
153,2020-12-01,6.0
154,2020-12-02,5.315
155,2020-12-03,5.335
156,2020-12-04,5.25
157,2020-12-05,5.18
158,2020-12-06,5.185
159,2020-12-07,5.185
160,2020-12-08,6.71
161,2020-12-09,6.706666667
162,2020-12-10,6.716666667
163,2020-12-11,6.696666667
164,2020-12-12,6.626666667
165,2020-12-13,6.616666667
166,2020-12-14,5.11
167,2020-12-15,6.575
168,2020-12-16,6.713333333
169,2020-12-17,5.155
170,2020-12-18,6.92
171,2020-12-19,6.03
172,2020-12-20,6.11
173,2020-12-21,6.093333333
174,2020-12-22,5.27
175,2020-12-23,5.215
176,2020-12-24,5.16
177,2020-12-25,5.956666667
178,2020-12-26,6.23
179,2020-12-27,6.225
180,2020-12-28,5.953333333
181,2020-12-29,6.84
182,2020-12-30,6.845
183,2020-12-31,6.8575
184,2021-01-01,6.885
185,2021-01-02,6.05
186,2021-01-03,6.046666667
187,2021-01-04,7.185
188,2021-01-05,7.2075
189,2021-01-06,7.295
190,2021-01-07,7.4825
191,2021-01-08,6.73
192,2021-01-09,6.733333333
193,2021-01-10,6.656666667
194,2021-01-11,6.656666667
195,2021-01-12,6.656666667
196,2021-01-13,6.656666667
197,2021-01-14,6.516666667
198,2021-01-15,6.646666667
199,2021-01-16,6.646666667
200,2021-01-17,6.616666667
201,2021-01-18,6.543333333
202,2021-01-19,6.583333333
203,2021-01-20,6.59
204,2021-01-21,6.61
205,2021-01-22,6.613333333
206,2021-01-23,6.626666667
207,2021-01-24,8.73
208,2021-01-25,6.636666667
209,2021-01-26,6.61
210,2021-01-27,6.603333333
211,2021-01-28,6.606666667
212,2021-01-29,6.64
213,2021-01-30,6.64
214,2021-01-31,6.663333333
215,2021-02-01,6.67
216,2021-02-02,6.903333333
217,2021-02-03,6.98
218,2021-02-04,6.956666667
219,2021-02-05,6.973333333
220,2021-02-06,7.016666667
221,2021-02-07,7.11
222,2021-02-08,7.203333333
223,2021-02-09,7.273333333
224,2021-02-10,8.34
225,2021-02-13,8.5
226,2021-02-14,8.393333333
227,2021-02-15,8.76
228,2021-02-16,7.675
229,2021-02-17,8.37
230,2021-02-18,8.0
231,2021-02-19,7.41
232,2021-02-20,7.8
233,2021-02-21,8.076666667
234,2021-02-22,8.076666667
235,2021-02-23,8.086666667
236,2021-02-24,7.253333333
237,2021-02-25,10.1075
238,2021-02-26,7.253333333
239,2021-02-27,7.253333333
240,2021-02-28,7.253333333
241,2021-03-01,7.123333333
242,2021-03-02,7.75
243,2021-03-03,7.095
244,2021-03-04,7.0
245,2021-03-05,6.85
246,2021-03-06,6.795
247,2021-03-07,6.805
248,2021-03-08,6.8
249,2021-03-09,6.8
250,2021-03-10,6.8
251,2021-03-11,6.203333333
252,2021-03-12,6.86
253,2021-03-13,6.8
254,2021-03-14,7.05
255,2021-03-15,7.05
256,2021-03-16,7.05
257,2021-03-17,8.11
258,2021-03-18,7.05
259,2021-03-19,7.05
260,2021-03-20,8.593333333
261,2021-03-21,8.526666667
262,2021-03-22,7.426666667
263,2021-03-23,7.48
264,2021-03-24,7.756666667
265,2021-03-25,7.736666667
266,2021-03-26,7.41
267,2021-03-27,7.363333333
268,2021-03-28,7.253333333
269,2021-03-29,7.283333333
270,2021-03-30,7.36
271,2021-03-31,7.216666667
272,2021-04-01,6.7
273,2021-04-02,6.705
274,2021-04-03,6.8
275,2021-04-04,7.283333333
276,2021-04-05,7.316666667
277,2021-04-06,7.44
278,2021-04-07,7.403333333
279,2021-04-08,7.29
280,2021-04-09,7.05
281,2021-04-10,7.106666667
282,2021-04-11,7.133333333
283,2021-04-12,7.133333333
284,2021-04-13,7.495
285,2021-04-14,7.33
286,2021-04-15,7.22
287,2021-04-16,6.733333333
288,2021-04-17,6.813333333
289,2021-04-18,6.85
290,2021-04-19,6.88
291,2021-04-20,6.88
292,2021-04-21,6.926666667
293,2021-04-22,6.69
294,2021-04-23,6.966666667
295,2021-04-24,5.366666667
296,2021-04-25,6.55
297,2021-04-26,6.415
298,2021-04-27,6.93
299,2021-04-28,7.025
300,2021-04-29,7.0
301,2021-04-30,6.545
302,2021-05-01,6.545
303,2021-05-02,6.54
304,2021-05-03,6.535
305,2021-05-04,7.215
306,2021-05-05,7.025
307,2021-05-06,6.94
308,2021-05-07,6.955
309,2021-05-08,7.105
310,2021-05-09,9.713333333
311,2021-05-10,9.726666667
312,2021-05-11,9.743333333
313,2021-05-12,9.77
314,2021-05-13,9.293333333
315,2021-05-14,9.06
316,2021-05-15,6.06
317,2021-05-16,6.055
318,2021-05-17,6.005
319,2021-05-18,9.023333333
320,2021-05-19,5.975
321,2021-05-20,5.885
322,2021-05-21,8.923333333
323,2021-05-22,5.92
324,2021-05-23,7.533095238571428
325,2021-05-24,6.035
326,2021-05-25,6.01
327,2021-05-26,5.905
328,2021-05-27,5.94
329,2021-05-28,6.0
330,2021-05-29,5.955
331,2021-05-30,6.005
332,2021-05-31,6.04
333,2021-06-01,6.035
334,2021-06-02,5.885
335,2021-06-03,5.795
336,2021-06-04,6.465
337,2021-06-05,6.63
338,2021-06-06,6.665
339,2021-06-07,6.735
340,2021-06-08,6.84
341,2021-06-09,15.768095238571428
342,2021-06-10,15.752380952857143
343,2021-06-11,15.38666667
344,2021-06-12,14.68
345,2021-06-13,14.66333333
346,2021-06-14,15.979047620000003
347,2021-06-15,15.77857143
348,2021-06-16,15.545238095714287
349,2021-06-17,15.314285715714286
350,2021-06-18,15.025238097142857
351,2021-06-19,15.15666667
352,2021-06-20,15.12666667
353,2021-06-21,15.01666667
354,2021-06-22,14.81333333
355,2021-06-23,14.82666667
356,2021-06-24,14.47666667
357,2021-06-25,11.39333333
358,2021-06-26,10.53666667
359,2021-06-27,10.38333333
360,2021-06-28,10.36666667
361,2021-06-29,10.99
