,日期,批发价格
0,2020-07-01,7.63
1,2020-07-02,7.21
2,2020-07-03,6.89
3,2020-07-04,6.99
4,2020-07-05,7.2
5,2020-07-06,7.54
6,2020-07-07,7.3
7,2020-07-08,7.18
8,2020-07-09,7.12
9,2020-07-10,6.76
10,2020-07-11,6.385
11,2020-07-12,5.985
12,2020-07-13,5.81
13,2020-07-14,5.38
14,2020-07-15,5.315
15,2020-07-16,5.28
16,2020-07-17,5.47
17,2020-07-18,5.48
18,2020-07-19,5.57
19,2020-07-20,5.62
20,2020-07-21,5.57
21,2020-07-22,5.56
22,2020-07-23,6.515
23,2020-07-24,6.665
24,2020-07-25,6.925
25,2020-07-26,7.04
26,2020-07-27,7.045
27,2020-07-28,6.965
28,2020-07-29,6.95
29,2020-07-30,6.975
30,2020-07-31,7.03
31,2020-08-01,7.25
32,2020-08-02,7.375
33,2020-08-03,7.035
34,2020-08-04,6.795
35,2020-08-05,6.72
36,2020-08-06,6.68
37,2020-08-07,6.68
38,2020-08-08,6.62
39,2020-08-09,7.29
40,2020-08-10,7.645
41,2020-08-11,7.14
42,2020-08-12,6.86
43,2020-08-13,7.03
44,2020-08-14,6.49
45,2020-08-15,6.58
46,2020-08-16,6.67
47,2020-08-17,6.43
48,2020-08-18,6.29
49,2020-08-19,6.08
50,2020-08-20,6.05
51,2020-08-21,5.96
52,2020-08-22,5.855
53,2020-08-23,6.135
54,2020-08-24,6.685
55,2020-08-25,6.81
56,2020-08-26,6.965
57,2020-08-27,6.805
58,2020-08-28,6.89
59,2020-08-29,6.91
60,2020-08-30,6.71
61,2020-08-31,6.165
62,2020-09-01,6.52
63,2020-09-02,6.39
64,2020-09-03,6.035
65,2020-09-04,5.865
66,2020-09-05,5.985
67,2020-09-06,6.14
68,2020-09-07,6.115
69,2020-09-08,6.38
70,2020-09-09,6.57
71,2020-09-10,7.07
72,2020-09-11,6.81
73,2020-09-12,6.97
74,2020-09-13,6.79
75,2020-09-14,6.22
76,2020-09-15,6.23
77,2020-09-16,6.28
78,2020-09-17,6.33
79,2020-09-18,6.215
80,2020-09-19,6.035
81,2020-09-20,5.53
82,2020-09-21,5.78
83,2020-09-22,6.125
84,2020-09-23,6.45
85,2020-09-24,7.89
86,2020-09-25,7.855
87,2020-09-26,7.435
88,2020-09-27,7.41
89,2020-09-28,7.5
90,2020-09-29,7.24
91,2020-09-30,6.995
92,2020-10-01,7.01
93,2020-10-02,6.895
94,2020-10-03,6.99
95,2020-10-04,6.11
96,2020-10-05,6.23
97,2020-10-06,5.97
98,2020-10-07,5.815
99,2020-10-08,6.0
100,2020-10-09,6.0
101,2020-10-10,6.165
102,2020-10-11,6.235
103,2020-10-12,6.105
104,2020-10-13,5.655
105,2020-10-14,5.275
106,2020-10-15,5.065
107,2020-10-16,5.075
108,2020-10-17,4.91
109,2020-10-18,4.95
110,2020-10-19,4.91
111,2020-10-20,5.025
112,2020-10-21,5.11
113,2020-10-22,5.38
114,2020-10-23,5.395
115,2020-10-24,5.34
116,2020-10-25,5.63
117,2020-10-26,5.78
118,2020-10-27,5.765
119,2020-10-28,5.68
120,2020-10-29,5.68
121,2020-10-30,5.635
122,2020-10-31,5.515
123,2020-11-01,5.4
124,2020-11-02,5.3
125,2020-11-03,4.21
126,2020-11-04,3.955
127,2020-11-05,3.825
128,2020-11-06,3.885
129,2020-11-07,3.86
130,2020-11-08,3.855
131,2020-11-09,3.81
132,2020-11-10,3.81
133,2020-11-11,3.735
134,2020-11-12,3.465
135,2020-11-13,3.625
136,2020-11-14,3.525
137,2020-11-15,3.485
138,2020-11-16,3.39
139,2020-11-17,3.455
140,2020-11-18,3.395
141,2020-11-19,3.195
142,2020-11-20,3.295
143,2020-11-21,2.95
144,2020-11-22,2.22
145,2020-11-23,2.1400000000000006
146,2020-11-24,2.2700000000000005
147,2020-11-25,2.75
148,2020-11-26,2.92
149,2020-11-27,2.96
150,2020-11-28,3.315
151,2020-11-29,3.42
152,2020-11-30,3.5
153,2020-12-01,3.705
154,2020-12-02,3.665
155,2020-12-03,4.07
156,2020-12-04,4.315
157,2020-12-05,4.42
158,2020-12-06,4.61
159,2020-12-07,4.87
160,2020-12-08,4.955
161,2020-12-09,5.035
162,2020-12-10,5.07
163,2020-12-11,5.045
164,2020-12-12,4.96
165,2020-12-13,4.725
166,2020-12-14,4.68
167,2020-12-15,4.615
168,2020-12-16,4.535
169,2020-12-17,4.59
170,2020-12-18,4.73
171,2020-12-19,4.725
172,2020-12-20,4.54
173,2020-12-21,4.71
174,2020-12-22,4.925
175,2020-12-23,4.925
176,2020-12-24,5.365
177,2020-12-25,5.675
178,2020-12-26,5.785
179,2020-12-27,5.845
180,2020-12-28,5.785
181,2020-12-29,5.8
182,2020-12-30,5.81
183,2020-12-31,5.795
184,2021-01-01,5.86
185,2021-01-02,5.95
186,2021-01-03,5.98
187,2021-01-04,6.16
188,2021-01-05,6.14
189,2021-01-06,6.11
190,2021-01-07,6.16
191,2021-01-08,6.585
192,2021-01-09,6.865
193,2021-01-10,7.185
194,2021-01-11,7.39
195,2021-01-12,7.545
196,2021-01-13,7.78
197,2021-01-14,8.565
198,2021-01-15,8.165
199,2021-01-16,8.28
200,2021-01-17,7.95
201,2021-01-18,8.35
202,2021-01-19,7.996666667
203,2021-01-20,8.096666667
204,2021-01-21,8.083333333
205,2021-01-22,8.49
206,2021-01-23,8.126666667
207,2021-01-24,8.08
208,2021-01-25,8.38
209,2021-01-26,7.526666667
210,2021-01-27,7.43
211,2021-01-28,7.025
212,2021-01-29,7.063333333
213,2021-01-30,6.465
214,2021-01-31,6.485
215,2021-02-01,6.52
216,2021-02-02,6.52
217,2021-02-03,6.08
218,2021-02-04,5.085
219,2021-02-05,5.04
220,2021-02-06,5.025
221,2021-02-07,5.87
222,2021-02-08,4.855
223,2021-02-09,5.593333333
224,2021-02-10,4.915
225,2021-02-13,4.2
226,2021-02-14,5.105
227,2021-02-15,5.105
228,2021-02-16,5.175
229,2021-02-17,5.25
230,2021-02-18,5.205
231,2021-02-19,4.865
232,2021-02-20,4.38
233,2021-02-21,4.58
234,2021-02-22,4.675
235,2021-02-23,4.675
236,2021-02-24,3.89
237,2021-02-25,4.11
238,2021-02-26,4.735
239,2021-02-27,4.77
240,2021-02-28,4.77
241,2021-03-01,4.775
242,2021-03-02,4.88
243,2021-03-03,4.68
244,2021-03-04,4.7
