,日期,批发价格
0,2020-07-01,4.095
1,2020-07-02,2.59
2,2020-07-03,4.02
3,2020-07-04,2.96
4,2020-07-05,4.793333333
5,2020-07-06,3.936666667
6,2020-07-07,3.4
7,2020-07-08,3.635
8,2020-07-09,3.803333333
9,2020-07-10,5.236666667
10,2020-07-11,5.236666667
11,2020-07-12,4.203333333
12,2020-07-13,3.966666667
13,2020-07-14,4.033333333
14,2020-07-15,4.123333333
15,2020-07-16,4.273333333
16,2020-07-17,4.25
17,2020-07-18,4.08
18,2020-07-19,4.096666667
19,2020-07-20,4.09
20,2020-07-21,4.2
21,2020-07-22,4.136666667
22,2020-07-23,4.286666667
23,2020-07-24,4.396666667
24,2020-07-25,4.583333333
25,2020-07-26,4.67
26,2020-07-27,4.87
27,2020-07-28,4.823333333
28,2020-07-29,4.733333333
29,2020-07-30,4.72
30,2020-07-31,4.683333333
31,2020-08-01,4.43
32,2020-08-02,4.226666667
33,2020-08-03,3.956666667
34,2020-08-04,3.77
35,2020-08-05,3.97
36,2020-08-06,4.063333333
37,2020-08-07,3.803333333
38,2020-08-08,3.123333333
39,2020-08-09,3.06
40,2020-08-10,2.82
41,2020-08-11,2.836666667
42,2020-08-12,3.51
43,2020-08-13,2.88
44,2020-08-14,4.263333333
45,2020-08-15,4.34
46,2020-08-16,4.363333333
47,2020-08-17,4.42
48,2020-08-18,4.406666667
49,2020-08-19,4.566666667
50,2020-08-20,5.066666667
51,2020-08-21,5.22
52,2020-08-22,5.416666667
53,2020-08-23,6.313333333
54,2020-08-24,5.52
55,2020-08-25,6.103333333
56,2020-08-26,6.586666667
57,2020-08-27,6.36
58,2020-08-28,6.18
59,2020-08-29,6.13
60,2020-08-30,6.323333333
61,2020-08-31,6.88
62,2020-09-01,6.963333333
63,2020-09-02,7.153333333
64,2020-09-03,7.023333333
65,2020-09-04,7.103333333
66,2020-09-05,7.895
67,2020-09-06,7.67
68,2020-09-07,7.3525
69,2020-09-08,7.3
70,2020-09-09,7.325
71,2020-09-10,7.095
72,2020-09-11,5.74
73,2020-09-12,6.6875
74,2020-09-13,5.15
75,2020-09-14,4.4
76,2020-09-15,4.223333333
77,2020-09-16,4.523333333
78,2020-09-17,4.776666667
79,2020-09-18,4.4
80,2020-09-19,4.443333333
81,2020-09-20,3.963333333
82,2020-09-21,4.163333333
83,2020-09-22,3.95
84,2020-09-23,4.166666667
85,2020-09-24,4.14
86,2020-09-25,4.123333333
87,2020-09-26,4.116666667
88,2020-09-27,4.136666667
89,2020-09-28,4.113333333
90,2020-09-29,4.073333333
91,2020-09-30,3.94
92,2020-10-01,3.686666667
93,2020-10-02,3.7633333329999994
94,2020-10-03,3.8899999999999997
95,2020-10-04,3.946666667
96,2020-10-05,3.893333333
97,2020-10-06,4.0175
98,2020-10-07,4.085
99,2020-10-08,4.1575
100,2020-10-09,4.22
101,2020-10-10,4.28
102,2020-10-11,4.4125
103,2020-10-12,4.63
104,2020-10-13,4.71
105,2020-10-14,4.62
106,2020-10-15,4.645
107,2020-10-16,4.6425
108,2020-10-17,4.5525
109,2020-10-18,4.5075
110,2020-10-19,4.5675
111,2020-10-20,4.5775
112,2020-10-21,4.5875
113,2020-10-22,4.495
114,2020-10-23,4.4575
115,2020-10-24,4.34
116,2020-10-25,4.455
117,2020-10-26,4.463333333
118,2020-10-27,4.495
119,2020-10-28,4.525
120,2020-10-29,4.535
121,2020-10-30,4.51
122,2020-10-31,4.4675
123,2020-11-01,4.4525
124,2020-11-02,4.49
125,2020-11-03,4.3675
126,2020-11-04,4.3375
127,2020-11-05,4.3175
128,2020-11-06,4.2
129,2020-11-07,4.0375
130,2020-11-08,4.075
131,2020-11-09,4.095
132,2020-11-10,4.2225
133,2020-11-11,4.2575
134,2020-11-12,4.16
135,2020-11-13,4.24
136,2020-11-14,4.1175
137,2020-11-15,4.01
138,2020-11-16,3.8475
139,2020-11-17,3.955
140,2020-11-18,3.9925
141,2020-11-19,4.28
142,2020-11-20,4.28
143,2020-11-21,4.3175
144,2020-11-22,4.675
145,2020-11-23,4.88
146,2020-11-24,4.8375
147,2020-11-25,4.7575
148,2020-11-26,4.8375
149,2020-11-27,5.075
150,2020-11-28,5.8625
151,2020-11-29,6.175
152,2020-11-30,5.928
153,2020-12-01,5.814
154,2020-12-02,5.81
155,2020-12-03,5.724
156,2020-12-04,5.842
157,2020-12-05,5.93
158,2020-12-06,6.042
159,2020-12-07,6.11
160,2020-12-08,5.8125
161,2020-12-09,6.253333333
162,2020-12-10,5.8875
163,2020-12-11,5.8975
164,2020-12-12,5.855
165,2020-12-13,5.8175
166,2020-12-14,4.94
167,2020-12-15,5.99
168,2020-12-16,5.246666667
169,2020-12-17,5.662
170,2020-12-18,5.815
