,日期,批发价格
0,2020-07-01,7.894
1,2020-07-02,7.836
2,2020-07-03,7.824
3,2020-07-04,7.984
4,2020-07-05,6.348
5,2020-07-06,6.97
6,2020-07-07,7.107142857
7,2020-07-08,8.018
8,2020-07-09,8.01
9,2020-07-10,6.986666667
10,2020-07-11,8.02
11,2020-07-12,7.036666667
12,2020-07-13,7.936
13,2020-07-14,6.182857143
14,2020-07-15,6.258571429
15,2020-07-16,6.46
16,2020-07-17,6.517142857
17,2020-07-18,6.554285714
18,2020-07-19,6.57
19,2020-07-20,6.587142857
20,2020-07-21,6.594285714
21,2020-07-22,6.582857143
22,2020-07-23,6.607142857
23,2020-07-24,6.562857143
24,2020-07-25,6.548571429
25,2020-07-26,6.531428571
26,2020-07-27,5.98125
27,2020-07-28,6.00375
28,2020-07-29,6.608571429
29,2020-07-30,6.604285714
30,2020-07-31,6.657142857
31,2020-08-01,6.648571429
32,2020-08-02,6.07875
33,2020-08-03,6.09625
34,2020-08-04,6.73
35,2020-08-05,6.545714286
36,2020-08-06,6.12625
37,2020-08-07,5.19
38,2020-08-08,5.395833333
39,2020-08-09,5.253
40,2020-08-10,8.086
41,2020-08-11,8.102
42,2020-08-12,7.27
43,2020-08-13,8.338
44,2020-08-14,5.886
45,2020-08-15,5.916
46,2020-08-16,6.38
47,2020-08-17,6.347777778
48,2020-08-18,5.8925
49,2020-08-19,6.097
50,2020-08-20,5.713636364
51,2020-08-21,5.971111111
52,2020-08-22,6.566666667
53,2020-08-23,6.97625
54,2020-08-24,6.321111111
55,2020-08-25,6.361111111
56,2020-08-26,6.772222222
57,2020-08-27,6.66
58,2020-08-28,6.29
59,2020-08-29,6.371818182
60,2020-08-30,6.394545455
61,2020-08-31,8.198888889
62,2020-09-01,6.744444444
63,2020-09-02,6.663
64,2020-09-03,7.191111111
65,2020-09-04,6.641
66,2020-09-05,6.380909091
67,2020-09-06,6.387272727
68,2020-09-07,6.701
69,2020-09-08,7.13
70,2020-09-09,6.644444444
71,2020-09-10,6.496
72,2020-09-11,5.67
73,2020-09-12,6.285454545
74,2020-09-13,5.972
75,2020-09-14,8.204285714
76,2020-09-15,6.837
77,2020-09-16,7.104444444
78,2020-09-17,6.504444444
79,2020-09-18,7.711538462
80,2020-09-19,6.65
81,2020-09-20,6.565555556
82,2020-09-21,5.962
83,2020-09-22,10.672595237142856
84,2020-09-23,7.834615385
85,2020-09-24,9.770937728428569
86,2020-09-25,8.725379120857143
87,2020-09-26,7.940243590142857
88,2020-09-27,8.149333333
89,2020-09-28,8.022307692
90,2020-09-29,6.641538462
91,2020-09-30,7.122307692
92,2020-10-01,6.214166667
93,2020-10-02,6.945384615
94,2020-10-03,7.006153846
95,2020-10-04,7.11
96,2020-10-05,7.017857143
97,2020-10-06,7.065714286
98,2020-10-07,6.984615385
99,2020-10-08,6.997692308
100,2020-10-09,7.015384615
101,2020-10-10,7.029230769
102,2020-10-11,6.24
103,2020-10-12,7.432727273
104,2020-10-13,6.929166667
105,2020-10-14,6.81
106,2020-10-15,5.916923077
107,2020-10-16,5.728333333
108,2020-10-17,5.798461538
109,2020-10-18,5.780769231
110,2020-10-19,5.755454545
111,2020-10-20,6.774166667
112,2020-10-21,4.702
113,2020-10-22,4.784
114,2020-10-23,4.553
115,2020-10-24,4.745454545
116,2020-10-25,4.905454545
117,2020-10-26,4.916363636
118,2020-10-27,4.64
119,2020-10-28,4.825454545
120,2020-10-29,4.792727273
121,2020-10-30,6.2375865805714295
122,2020-10-31,5.483491342
123,2020-11-01,4.229090909
124,2020-11-02,4.696363636
125,2020-11-03,4.688181818
126,2020-11-04,5.031818182
127,2020-11-05,5.031818182
128,2020-11-06,4.733
129,2020-11-07,4.684
130,2020-11-08,4.560909091
131,2020-11-09,4.474545455
132,2020-11-10,4.47
133,2020-11-11,4.552
134,2020-11-12,9.193076923
135,2020-11-13,4.879090909
136,2020-11-14,4.500909091
137,2020-11-15,4.56
138,2020-11-16,4.540909091
139,2020-11-17,4.515454545
140,2020-11-18,4.498181818
141,2020-11-19,4.156
142,2020-11-20,4.184166667
143,2020-11-21,4.259090909
144,2020-11-22,5.037
145,2020-11-23,5.1125
146,2020-11-24,5.148333333
147,2020-11-25,5.642307692
148,2020-11-26,5.524166667
149,2020-11-27,9.676428571
150,2020-11-28,5.769230769
151,2020-11-29,5.818461538
152,2020-11-30,5.812307692
153,2020-12-01,5.808461538
154,2020-12-02,5.491666667
155,2020-12-03,5.147272727
156,2020-12-04,8.030225596142857
157,2020-12-05,7.465750626714287
158,2020-12-06,6.144615385
