日期,分类名称,销售单价,销售总量,ln4单价,ln4总量
2020-7-1,水生根茎类,13.97333333,4.85,2.637150751,1.578978705
2020-7-2,水生根茎类,11.97142857,4.6,2.482522858,1.526056303
2020-7-3,水生根茎类,8.2,9.572,2.104134154,2.25884217
2020-7-4,水生根茎类,22.075,5.439,3.094445746,1.69359522
2020-7-5,水生根茎类,10,4.019,2.302585093,1.391033115
2020-7-6,水生根茎类,9.972727273,3.089,2.299854095,1.127847414
2020-7-7,水生根茎类,10,3.117,2.302585093,1.136871001
2020-7-8,水生根茎类,13.92307692,10.605,2.633547674,2.361325588
2020-7-9,水生根茎类,10,2.106,2.302585093,0.744790414
2020-7-10,水生根茎类,13.61071429,9.025,2.610857298,2.199998504
2020-7-11,水生根茎类,14.4826087,8.928,2.67294853,2.189192406
2020-7-12,水生根茎类,17.83055556,13.994,2.88091359,2.638628666
2020-7-13,水生根茎类,13.81935484,11.605,2.626070134,2.45143604
2020-7-14,水生根茎类,14.85909091,9.007,2.69861186,2.198002053
2020-7-15,水生根茎类,14.06666667,10.238,2.643807933,2.326106288
2020-7-16,水生根茎类,13.86333333,11.354,2.629247465,2.429570105
2020-7-17,水生根茎类,14.13793103,10.727,2.648861329,2.372763928
2020-7-18,水生根茎类,14.05,10.418,2.642622396,2.343535079
2020-7-19,水生根茎类,13.912,11.124,2.632751777,2.409104936
2020-7-20,水生根茎类,13.30869565,9.548,2.58841763,2.256331708
2020-7-21,水生根茎类,16.6,12.744,2.809402695,2.545060573
2020-7-22,水生根茎类,16.35333333,10.85,2.79443175,2.38416508
2020-7-23,水生根茎类,10.44358974,30.417,2.345988368,3.415001663
2020-7-24,水生根茎类,17.26896552,11.74,2.84891099,2.463001814
2020-7-25,水生根茎类,14.35652174,10.424,2.664204316,2.34411084
2020-7-26,水生根茎类,19.20833333,12.988,2.955344212,2.564025854
2020-7-27,水生根茎类,15.78461538,17.265,2.759035756,2.848681331
2020-7-28,水生根茎类,11.95294118,13.959,2.480977372,2.636124462
2020-7-29,水生根茎类,12.27647059,18.597,2.50768447,2.923000277
2020-7-30,水生根茎类,11.96538462,10.645,2.482017866,2.365090298
2020-7-31,水生根茎类,11.40540541,19.062,2.434087402,2.947696825
2020-8-1,水生根茎类,11.19318182,21.432,2.415304827,3.064885132
2020-8-2,水生根茎类,11.71214953,56.154,2.460626724,4.028097916
2020-8-3,水生根茎类,13.54146341,15.555,2.605756342,2.74438213
2020-8-4,水生根茎类,13.39215686,26.208,2.594669227,3.266064708
2020-8-5,水生根茎类,12.8,21.452,2.549445171,3.065817881
2020-8-6,水生根茎类,12.21111111,19.115,2.502346284,2.950473367
2020-8-7,水生根茎类,14.032,25.415,2.641340436,3.235339551
2020-8-8,水生根茎类,12.83636364,27.461,2.552282053,3.312766816
2020-8-9,水生根茎类,12.64561404,25.9,2.537310439,3.254242969
2020-8-10,水生根茎类,11.68125,30.683,2.457984992,3.423708755
2020-8-11,水生根茎类,12.87234043,20.458,2.555080857,3.018374004
2020-8-12,水生根茎类,12.33684211,27.355,2.512590079,3.308899328
2020-8-13,水生根茎类,13.15454545,19.324,2.57676736,2.961347847
2020-8-14,水生根茎类,10.282,29.991,2.330394794,3.400897337
2020-8-15,水生根茎类,12.98723404,25.642,2.563966878,3.244231632
2020-8-16,水生根茎类,10.62692308,24.454,2.363390694,3.196793802
2020-8-17,水生根茎类,12.4875,15.916,2.524728144,2.767324893
2020-8-18,水生根茎类,10.26315789,21.753,2.328560579,3.079751679
2020-8-19,水生根茎类,11.04571429,17.95,2.402042506,2.887590115
2020-8-20,水生根茎类,10.81666667,22.966,2.381088155,3.134014861
2020-8-21,水生根茎类,9.175925926,34.598,2.216583307,3.543795877
2020-8-22,水生根茎类,10.23888889,42.772,2.326193107,3.755883683
2020-8-23,水生根茎类,9.760344828,46.057,2.278327731,3.82987976
2020-8-24,水生根茎类,10.93513514,20.305,2.391981013,3.010867161
2020-8-25,水生根茎类,11.75714286,20.062,2.464460959,2.998827478
2020-8-26,水生根茎类,11.73846154,18.95,2.462870762,2.941803932
2020-8-27,水生根茎类,13.17142857,19.487,2.578049981,2.969747577
2020-8-28,水生根茎类,13.67659574,20.997,2.615686032,3.04437957
2020-8-29,水生根茎类,8.469090909,65.814,2.136423172,4.186832582
2020-8-30,水生根茎类,10.88387097,30.005,2.387281966,3.401364034
2020-8-31,水生根茎类,9.061363636,52.949,2.20401962,3.969329186
2020-9-1,水生根茎类,9.548051948,47.658,2.256337149,3.864050507
2020-9-2,水生根茎类,9.347058824,17.941,2.23506173,2.887088596
2020-9-3,水生根茎类,8.774193548,15.996,2.171814862,2.772338691
2020-9-4,水生根茎类,9.405405405,16.635,2.241284567,2.811508909
2020-9-5,水生根茎类,7.934177215,42.554,2.071179658,3.750773858
2020-9-6,水生根茎类,7.718518519,46.963,2.043622444,3.849360058
2020-9-7,水生根茎类,7.85,38.926,2.060513532,3.661662408
2020-9-8,水生根茎类,8,19.127,2.079441542,2.951100949
2020-9-9,水生根茎类,9,12.161,2.197224577,2.49823411
2020-9-10,水生根茎类,8.642857143,14.492,2.156733216,2.673596773
2020-9-11,水生根茎类,8.692307692,13.364,2.162438461,2.592564524
2020-9-12,水生根茎类,8,16.957,2.079441542,2.830680728
2020-9-13,水生根茎类,8.952380952,18.739,2.191919525,2.930606914
2020-9-14,水生根茎类,8.923076923,17.361,2.188640834,2.854226311
2020-9-15,水生根茎类,10.26666667,19.219,2.328902402,2.955899373
2020-9-16,水生根茎类,7.777777778,18.818,2.051270665,2.934813859
2020-9-17,水生根茎类,7,17.437,1.945910149,2.858594385
2020-9-18,水生根茎类,8.166666667,11.389,2.100060829,2.432647977
2020-9-19,水生根茎类,8.441176471,39.431,2.133121691,3.674552309
2020-9-20,水生根茎类,8.375,39.551,2.125251078,3.677590978
2020-9-21,水生根茎类,8,16.289,2.079441542,2.790490033
2020-9-22,水生根茎类,8.454545455,37.808,2.13470422,3.63252072
2020-9-23,水生根茎类,9,18.629,2.197224577,2.924719506
2020-9-24,水生根茎类,8,51.886,2.079441542,3.949049004
2020-9-25,水生根茎类,9,22.732,2.197224577,3.123773623
