日期,蔬菜品类,批发价格
2020-07-01,花叶类,5.333125
2020-07-01,辣椒类,7.197777778
2020-07-01,茄类,4.095
2020-07-01,食用菌,7.894
2020-07-01,花菜类,7.63
2020-07-01,水生根茎类,17.54
2020-07-02,花叶类,5.254705882
2020-07-02,辣椒类,7.014
2020-07-02,茄类,2.59
2020-07-02,食用菌,7.836
2020-07-02,花菜类,7.21
2020-07-02,水生根茎类,17.65
2020-07-03,花叶类,5.090625
2020-07-03,辣椒类,6.847
2020-07-03,茄类,4.02
2020-07-03,食用菌,7.824
2020-07-03,花菜类,6.89
2020-07-03,水生根茎类,5.61
2020-07-04,花叶类,4.853846154
2020-07-04,辣椒类,6.709
2020-07-04,茄类,2.96
2020-07-04,食用菌,7.984
2020-07-04,花菜类,6.99
2020-07-04,水生根茎类,15.445
2020-07-05,花叶类,4.82
2020-07-05,辣椒类,6.958
2020-07-05,茄类,4.793333333
2020-07-05,食用菌,6.348
2020-07-05,花菜类,7.2
2020-07-05,水生根茎类,5.42
2020-07-06,花叶类,4.977142857
2020-07-06,辣椒类,7.075
2020-07-06,茄类,3.936666667
2020-07-06,食用菌,6.97
2020-07-06,花菜类,7.54
2020-07-06,水生根茎类,5.45
2020-07-07,花叶类,5.030666667
2020-07-07,辣椒类,7.221
2020-07-07,茄类,3.4
2020-07-07,食用菌,7.107142857
2020-07-07,花菜类,7.3
2020-07-07,水生根茎类,5.46
2020-07-08,花叶类,5.065
2020-07-08,辣椒类,7.258
2020-07-08,茄类,3.635
2020-07-08,食用菌,8.018
2020-07-08,花菜类,7.18
2020-07-08,水生根茎类,7.235
2020-07-09,花叶类,5.082666667
2020-07-09,辣椒类,7.055
2020-07-09,茄类,3.803333333
2020-07-09,食用菌,8.01
2020-07-09,花菜类,7.12
2020-07-09,水生根茎类,5.47
2020-07-10,花叶类,5.061176471
2020-07-10,辣椒类,6.82625
2020-07-10,茄类,5.236666667
2020-07-10,食用菌,6.986666667
2020-07-10,花菜类,6.76
2020-07-10,水生根茎类,7.22
2020-07-11,花叶类,5.08
2020-07-11,辣椒类,7.71
2020-07-11,茄类,5.236666667
2020-07-11,食用菌,8.02
2020-07-11,花菜类,6.385
2020-07-11,水生根茎类,7.205
2020-07-12,花叶类,5.103333333
2020-07-12,辣椒类,7.425
2020-07-12,茄类,4.203333333
2020-07-12,食用菌,7.036666667
2020-07-12,花菜类,5.985
2020-07-12,水生根茎类,12.82
2020-07-13,花叶类,4.8
2020-07-13,辣椒类,7.5
2020-07-13,茄类,3.966666667
2020-07-13,食用菌,7.936
2020-07-13,花菜类,5.81
2020-07-13,水生根茎类,7.2
2020-07-14,花叶类,4.691538462
2020-07-14,辣椒类,7.532
2020-07-14,茄类,4.033333333
2020-07-14,食用菌,6.182857143
2020-07-14,花菜类,5.38
2020-07-14,水生根茎类,6.62
2020-07-15,花叶类,4.1675
2020-07-15,辣椒类,7.627
2020-07-15,茄类,4.123333333
2020-07-15,食用菌,6.258571429
2020-07-15,花菜类,5.315
2020-07-15,水生根茎类,6.62
2020-07-16,花叶类,4.628461538
2020-07-16,辣椒类,7.873
2020-07-16,茄类,4.273333333
2020-07-16,食用菌,6.46
2020-07-16,花菜类,5.28
2020-07-16,水生根茎类,6.63
2020-07-17,花叶类,4.527142857
2020-07-17,辣椒类,7.948
2020-07-17,茄类,4.25
2020-07-17,食用菌,6.517142857
2020-07-17,花菜类,5.47
2020-07-17,水生根茎类,6.71
2020-07-18,花叶类,4.546153846
2020-07-18,辣椒类,8.195
2020-07-18,茄类,4.08
2020-07-18,食用菌,6.554285714
2020-07-18,花菜类,5.48
2020-07-18,水生根茎类,6.725
2020-07-19,花叶类,4.654166667
2020-07-19,辣椒类,7.927
2020-07-19,茄类,4.096666667
2020-07-19,食用菌,6.57
2020-07-19,花菜类,5.57
2020-07-19,水生根茎类,6.715
2020-07-20,花叶类,4.575
2020-07-20,辣椒类,8.348888889
2020-07-20,茄类,4.09
2020-07-20,食用菌,6.587142857
2020-07-20,花菜类,5.62
2020-07-20,水生根茎类,6.72
2020-07-21,花叶类,4.488461538
2020-07-21,辣椒类,7.815
2020-07-21,茄类,4.2
2020-07-21,食用菌,6.594285714
2020-07-21,花菜类,5.57
2020-07-21,水生根茎类,11.17
2020-07-22,花叶类,4.450769231
2020-07-22,辣椒类,7.707
2020-07-22,茄类,4.136666667
2020-07-22,食用菌,6.582857143
2020-07-22,花菜类,5.56
2020-07-22,水生根茎类,11.17333333
2020-07-23,花叶类,4.510769231
2020-07-23,辣椒类,7.833
2020-07-23,茄类,4.286666667
2020-07-23,食用菌,6.607142857
2020-07-23,花菜类,6.515
2020-07-23,水生根茎类,5.31
2020-07-24,花叶类,4.835454545
2020-07-24,辣椒类,8.053
2020-07-24,茄类,4.396666667
2020-07-24,食用菌,6.562857143
2020-07-24,花菜类,6.665
2020-07-24,水生根茎类,12.29333333
2020-07-25,花叶类,4.640769231
2020-07-25,辣椒类,8.156
2020-07-25,茄类,4.583333333
2020-07-25,食用菌,6.548571429
2020-07-25,花菜类,6.925
2020-07-25,水生根茎类,7.46
2020-07-26,花叶类,4.649230769
2020-07-26,辣椒类,8.439
2020-07-26,茄类,4.67
2020-07-26,食用菌,6.531428571
2020-07-26,花菜类,7.04
2020-07-26,水生根茎类,12.36
2020-07-27,花叶类,4.733333333
2020-07-27,辣椒类,8.549
2020-07-27,茄类,4.87
2020-07-27,食用菌,5.98125
2020-07-27,花菜类,7.045
2020-07-27,水生根茎类,12.09333333
2020-07-28,花叶类,4.692307692
2020-07-28,辣椒类,8.815
2020-07-28,茄类,4.823333333
2020-07-28,食用菌,6.00375
2020-07-28,花菜类,6.965
2020-07-28,水生根茎类,6.895
2020-07-29,花叶类,4.7425
2020-07-29,辣椒类,8.747
2020-07-29,茄类,4.733333333
2020-07-29,食用菌,6.608571429
2020-07-29,花菜类,6.95
2020-07-29,水生根茎类,6.895
2020-07-30,花叶类,4.804545455
2020-07-30,辣椒类,8.525454545
2020-07-30,茄类,4.72
2020-07-30,食用菌,6.604285714
2020-07-30,花菜类,6.975
2020-07-30,水生根茎类,7.255
2020-07-31,花叶类,4.732307692
2020-07-31,辣椒类,8.341
2020-07-31,茄类,4.683333333
2020-07-31,食用菌,6.657142857
2020-07-31,花菜类,7.03
2020-07-31,水生根茎类,7.38
2020-08-01,花叶类,4.729285714
2020-08-01,辣椒类,8.603636364
2020-08-01,茄类,4.43
2020-08-01,食用菌,6.648571429
2020-08-01,花菜类,7.25
2020-08-01,水生根茎类,7.415
2020-08-02,花叶类,5.573529412
2020-08-02,辣椒类,8.144545455
2020-08-02,茄类,4.226666667
2020-08-02,食用菌,6.07875
2020-08-02,花菜类,7.375
2020-08-02,水生根茎类,12.24666667
2020-08-03,花叶类,5.710625
2020-08-03,辣椒类,7.794545455
2020-08-03,茄类,3.956666667
2020-08-03,食用菌,6.09625
2020-08-03,花菜类,7.035
2020-08-03,水生根茎类,12.18
2020-08-04,花叶类,5.056470588
2020-08-04,辣椒类,7.031111111
2020-08-04,茄类,3.77
2020-08-04,食用菌,6.73
2020-08-04,花菜类,6.795
